Whisky,Meta Critic,STDEV,#,Cost,Class,Super Cluster,Cluster,Country,Type
Ledaig 42yo Dusgadh,9.46,0.24,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 40yo,9.28,0.28,14,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Glengoyne 25yo,9.21,0.23,14,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Spectrum (Batch 1),9.18,0.22,10,$$$$$,SingleMalt-like,ABC,C,India,Malt
Highland Park 40yo,9.17,0.43,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 49),9.15,0.15,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie TUN 1401 (all 8 batches),9.14,0.28,16,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 25yo,9.14,0.23,14,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 30yo,9.14,0.41,12,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Laphroaig 25yo,9.14,0.27,18,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Spectrum (all batches),9.13,0.18,10,$$$$$,SingleMalt-like,ABC,C,India,Malt
Yamazaki 18yo,9.13,0.21,21,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Aberlour A'Bunadh (Batch 33),9.12,0.13,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Greedy Angels (8yo and 10yo),9.12,0.18,8,$$$$$+,SingleMalt-like,ABC,C,India,Malt
Amrut Spectrum 004 (Batch 2),9.12,0.28,3,$$$$$,SingleMalt-like,ABC,C,India,Malt
Compass Box Last Vatted Malt,9.11,0.12,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kavalan Solist Amontillado Cask,9.11,0.23,4,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Nikka Single Cask Coffey Malt 12yo,9.11,0.48,9,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Redbreast 21yo,9.11,0.29,17,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Tamdhu 30yo (MacPhail Collection 2009),9.11,0.1,3,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 37),9.1,0.08,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 40),9.09,0.13,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 16yo Odin,9.08,0.25,7,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Sheep Dip Old Hebridean 1990 Blended Malt,9.08,0.18,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Yamazaki Sherry Cask (all vintages),9.08,0.28,11,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt
Aberlour A'Bunadh (Batch 52),9.07,0.27,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 18yo,9.07,0.22,25,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kavalan Solist PX Cask,9.07,0.65,6,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Bowmore Springtide,9.06,0.78,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 1),9.06,0.27,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Solist Manzanilla Cask,9.06,0.13,4,$$$$$+,SingleMalt-like,ABC,C,Taiwan,Malt
Kavalan Solist Sherry Cask,9.06,0.33,18,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt
BenRiach 18yo Albariza Pedro Ximenez Peated,9.04,0.21,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 39),9.03,0.21,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 53),9.03,0.11,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach Cask Strength (batch 2),9.03,0.11,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kilchoman Port Cask Matured,9.03,0.2,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Benromach 10yo Cask Strength (100 proof),9.02,0.18,14,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 15yo Loki,9.02,0.23,16,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Karuizawa 1990 Sherry Butt,9.02,0.28,4,$$$$$+,SingleMalt-like,ABC,A,Japan,Malt
GlenDronach vintage 20yo Single Cask (all vintages),9.01,0.35,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 35),9,0.23,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bruichladdich 21yo CuvÌ©e 407 PX,9,0.17,4,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 36),8.99,0.49,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt 21st Anniversary Edition,8.99,0.18,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bladnoch 12yo Sherry Cask (Sheep label),8.99,0.26,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kavalan Solist Fino Sherry Cask,8.99,0.31,12,$$$$$+,SingleMalt-like,ABC,A,Taiwan,Malt
Kavalan Solist Vinho Barrique,8.99,0.33,15,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt
Springbank 21yo,8.99,0.24,12,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 45),8.98,0.23,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Portonova,8.98,0.3,18,$$$$,SingleMalt-like,ABC,C,India,Malt
Bunnahabhain 18yo,8.98,0.2,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Signet,8.98,0.39,20,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Intermediate Sherry,8.97,0.38,19,$$$$,SingleMalt-like,ABC,B,India,Malt
Amrut PX Sherry Single Cask 2696 (LCBO),8.97,0.28,6,$$$$$,SingleMalt-like,ABC,B,India,Malt
BenRiach 17yo Solstice Peated Port (both editions),8.97,0.27,14,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Hakushu Sherry Cask,8.97,0.43,7,$$$$$+,SingleMalt-like,ABC,B,Japan,Malt
Nikka Taketsuru 21yo,8.97,0.27,17,$$$$$,SingleMalt-like,ABC,C,Japan,Malt
Aberlour A'Bunadh (Batch 30),8.96,0.17,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 47),8.96,0.31,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenlivet Alpha,8.96,0.11,4,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 54),8.95,0.16,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie TUN 1509 (all 3 batches),8.95,0.19,13,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
BenRiach 17yo Solstice 2nd Peated Port Finish,8.95,0.4,14,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach vintage 19yo Single Cask (all vintages),8.95,0.34,14,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Tomatin 40yo,8.95,0.39,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (all batches),8.94,0.15,25,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
BenRiach 35yo,8.94,0.59,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Box PX - Pedro XimÌ©nez Finish,8.94,0.14,6,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
GlenDronach Cask Strength (batch 3),8.94,0.37,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach Cask Strength (batch 4),8.93,0.26,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glengoyne 40yo,8.93,0.82,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Macallan Cask Strength,8.93,0.35,16,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
BenRiach 17yo Solstice 1st Peated Port Finish,8.92,0.2,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 6),8.92,0.08,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach Cask Strength (all batches),8.91,0.19,19,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenlivet XXV 25yo,8.91,0.18,11,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 11yo Australian Shiraz,8.91,0.35,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 46),8.9,0.08,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bowmore 15yo Laimrig,8.9,0.29,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 16yo Thor,8.9,0.31,12,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Highland Park 21yo,8.9,0.4,16,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 18yo Sherry Oak,8.9,0.31,19,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Amrut Kadhambam,8.89,0.26,14,$$$$,SingleMalt-like,ABC,C,India,Malt
Amrut PX Sherry Single Cask 3516 (SAQ),8.88,0.19,6,$$$$,SingleMalt-like,ABC,B,India,Malt
GlenDronach 15yo Revival,8.88,0.28,22,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glengoyne 21yo,8.88,0.18,17,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Laphroaig Cairdeas 2013 Port Wood,8.88,0.46,14,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 10yo Sherry Oak Cask Strength,8.88,0.53,6,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 34),8.87,0.29,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Kavalan Brandy Oak,8.87,0.21,3,$$$$$,SingleMalt-like,ABC,A,Taiwan,Malt
Kilchoman Loch Gorm,8.87,0.26,21,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kilchoman PX Sherry Finish,8.87,0.19,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Scallywag 13yo,8.87,0.05,4,$$$$,SingleMalt-like,ABC,B,Switzerland,Malt
Springbank 12yo Cask Strength,8.87,0.25,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
White Oak Akashi 14yo,8.87,0.47,3,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt
Aberlour A'Bunadh (Batch 58),8.86,0.28,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
AnCnoc 1975,8.86,0.55,4,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
Glenlivet Nadurra 16yo,8.86,0.2,23,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balblair 1990 Second Release,8.85,0.21,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain 25yo,8.85,0.3,16,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
GlenDronach 12yo Sauternes Cask Finish,8.85,0.18,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Companta,8.85,0.53,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 12yo Pinot Noir Finish,8.85,0.35,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:2,8.85,0.19,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
BenRiach 18yo Latada,8.84,0.16,7,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Bowmore 25yo,8.84,0.52,9,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 25yo Sherry Oak,8.84,0.47,8,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Smogen Sherry Project 1:4,8.84,0.28,5,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Highland Park Full Volume,8.83,0.22,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longmorn 15yo,8.83,0.37,8,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 12yo Non-Chill-Filtered,8.82,0.23,13,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Aberlour A'Bunadh (Batch 32),8.82,0.68,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Compass Box This is Not a Luxury Whisky,8.82,0.45,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Teapot Dram (all batches),8.82,0.44,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenlivet Nadurra Cask Strength (NAS),8.82,0.1,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Green Spot Chateau Leoville Barton,8.82,0.39,9,$$$$,SingleMalt-like,ABC,C,Ireland,Blend
Amrut PX Sherry Single Cask (all casks),8.81,0.47,13,$$$$,SingleMalt-like,ABC,A,India,Malt
Laphroaig PX Triple Matured,8.81,0.55,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach Cask Strength (batch 5),8.8,0.16,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie 21yo Port Wood,8.79,0.36,18,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glen Garioch 15yo Renaissance Chapter 1,8.79,0.25,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Kavalan Solist Port Cask,8.79,0.39,7,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Royal Brackla 21yo,8.79,0.18,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 42),8.78,0.12,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 48),8.78,0.52,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bowmore 10yo Devil's Cask (all batches),8.78,0.34,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfiddich Snow Pheonix,8.78,0.38,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Millstone 12yo Sherry Cask,8.78,0.52,8,$$$$,SingleMalt-like,ABC,C,Netherlands,Malt
Arran Malt Amarone Cask Finish,8.77,0.3,13,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Jura Brooklyn,8.77,0.21,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 11yo Port Cask,8.77,0.38,14,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:3,8.77,0.26,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Aberlour 18yo,8.76,0.27,13,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt Sassicaia Wine Cask Finish,8.76,0.17,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 17yo,8.76,0.26,19,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Macallan 1824 Ruby,8.76,0.21,13,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 50),8.75,0.34,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Benromach 15yo,8.75,0.49,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Scallywag Cask Strength (all batches),8.75,0.07,5,$$$$,SingleMalt-like,ABC,C,Switzerland,Malt
GlenDronach 18yo Allardice,8.74,0.37,18,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 18yo Tawny Port Finish,8.74,0.39,6,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfarclas 105,8.74,0.35,24,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 25yo,8.74,0.28,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Nectar d'Or,8.74,0.28,22,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Longmorn 16yo,8.74,0.33,17,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Redbreast Lustau Edition,8.74,0.28,13,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
AnCnoc 22yo,8.73,0.31,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Cask Strength (batch 1),8.73,0.46,4,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenrothes Minister's Reserve,8.73,0.17,4,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 15yo Fire,8.73,0.35,10,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Springbank 13yo Green,8.73,0.3,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Teerenpeli Distiller‰Ûªs Choice KARHI,8.73,0.12,3,$$$$,SingleMalt-like,ABC,C,Finland,Malt
GlenDronach 21yo Parliament,8.72,0.35,19,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Macallan 1824 Sienna,8.71,0.33,18,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Oban Distillers Edition (all vintages),8.71,0.2,15,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Sheep Dip 1999 Amoroso Blended Malt,8.71,0.53,3,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen Sherry Project 1:1,8.71,0.12,3,$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Springbank 15yo,8.71,0.22,19,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Bengal Tiger PX Single Cask (Canada),8.7,0.27,4,$$$$,SingleMalt-like,ABC,C,India,Malt
Macallan 1824 Rare Cask,8.7,0.4,10,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Ohishi Sherry Cask,8.7,0.41,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park 15yo,8.69,0.22,13,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Knappogue Castle 16yo Twin Wood,8.69,0.47,6,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Mortlach 15yo (Gordon & MacPhail),8.69,0.35,13,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 16yo Double Cask Matured,8.68,0.18,13,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glencadam 14yo Oloroso Sherry Cask Finish,8.68,0.45,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
GlenDronach 18yo Marsala Finish,8.68,0.09,4,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne Cask Strength (batch 2),8.68,0.41,3,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenmorangie A Midwinter Night‰Ûªs Dram,8.68,0.28,5,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenmorangie Taghta,8.68,0.3,10,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Mortlach 16yo (F&F),8.68,0.29,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tomatin 18yo,8.68,0.22,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour A'Bunadh (Batch 38),8.67,0.18,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Arran Malt Madeira Wine Cask,8.67,0.43,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 12yo Matured in Sherry Wood,8.67,0.2,14,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Sullivans Cove French Oak,8.67,0.27,8,$$$$$+,SingleMalt-like,ABC,C,Tasmania,Malt
Hazelburn 12yo (Springbank),8.66,0.24,18,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Karuizawa Asama Vintages 1999-2000,8.66,0.43,9,$$$$$+,SingleMalt-like,ABC,C,Japan,Malt
Kilchoman Sherry Single Cask,8.66,0.54,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Redbreast Mano a LÌÁmh,8.66,0.37,4,$$$,SingleMalt-like,ABC,C,Ireland,Malt
Balvenie 17yo Doublewood,8.65,0.31,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 21yo Tawny Port Finish,8.65,0.3,3,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Swiss Highland Classic Single Malt,8.65,0.4,4,$$$$$,SingleMalt-like,ABC,C,Switzerland,Malt
Tamdhu Batch Strength (both batches),8.65,0.47,10,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park Magnus (2017),8.64,0.16,8,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Ledaig 18yo,8.64,0.72,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan Reflexion,8.64,0.32,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Highland Park Valkyrie,8.63,0.21,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 25yo Fine Oak,8.63,0.26,3,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
AnCnoc 2000,8.62,0.19,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfarclas 15yo,8.62,0.46,18,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenfarclas 21yo,8.62,0.3,16,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenfiddich 21yo Gran Reserva,8.62,0.4,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Cask Strength (all batches),8.62,0.47,13,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Kavalan Sherry Oak,8.62,0.34,6,$$$$$,SingleMalt-like,ABC,B,Taiwan,Malt
Aberlour A'Bunadh (Batch 57),8.61,0.5,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Bowmore 15yo Darkest,8.61,0.31,23,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne Cask Strength (batch 4),8.61,0.13,5,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Tomatin 14yo Portwood,8.61,0.36,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Ardbeg Galileo,8.6,0.58,17,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Balvenie 16yo Triple Cask,8.6,0.24,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
GlenDronach 12yo Original,8.59,0.23,22,$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glenfarclas 12yo,8.59,0.31,21,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfiddich 15yo Solera,8.59,0.25,26,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Spirit of Hven Sankt Claus,8.59,0.58,3,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Aberfeldy 18yo,8.58,0.24,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 12yo Sherry Oak,8.58,0.25,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Santis Alpstein (all editions),8.58,0.12,3,$$$$$,SingleMalt-like,ABC,C,Switzerland,Malt
Tomatin Oloroso Sherry 1995,8.58,0.56,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne 12yo Cask Strength,8.57,0.41,10,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glengoyne 18yo,8.57,0.36,13,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Quinta Ruban,8.57,0.45,25,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Tobermory 15yo,8.57,0.31,15,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Tyrconnell 10yo Port Cask Finish,8.57,0.36,11,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Westland Winter 2016,8.57,0.55,5,$$$$,SingleMalt-like,ABC,C,USA,Malt
Arran Malt Port Cask Finish,8.56,0.36,12,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore 12yo Enigma,8.56,0.35,12,$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain Moine,8.56,0.58,9,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan 30yo Fine Oak,8.56,0.36,6,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Amrut Naarangi,8.55,0.61,10,$$$$$,SingleMalt-like,ABC,C,India,Malt
Longrow Red 14yo Burgundy Wood,8.55,0.71,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Teerenpeli Distiller‰Ûªs Choice AURA,8.55,0.08,3,$$$$$,SingleMalt-like,ABC,C,Finland,Malt
Arran Malt Sherry Single Cask,8.54,0.54,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Dalmore 18yo,8.54,0.39,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glengoyne 12yo,8.54,0.37,10,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenmorangie Dornoch,8.54,0.66,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenmorangie Duthac,8.54,0.26,8,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Macallan Whisky Maker's Edition,8.54,0.34,14,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Mackmyra Midvinter,8.54,0.53,3,$$$,SingleMalt-like,ABC,C,Sweden,Malt
Talisker Port Ruighe,8.54,0.37,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balblair 1989,8.53,0.46,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Penderyn Portwood,8.53,0.35,6,$$$,SingleMalt-like,ABC,C,Wales,Malt
Redbreast All Sherry Single Cask 1999,8.53,0.85,5,$$$$$,SingleMalt-like,ABC,A,Ireland,Malt
Glengoyne 15yo,8.52,0.51,10,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Amrut PX Sherry Single Cask 2701,8.51,0.71,3,$$$$,SingleMalt-like,ABC,B,India,Malt
Dalwhinnie Distillers Edition,8.51,0.33,9,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glen Moray Classic Sherry Cask finish,8.51,0.23,4,$$,SingleMalt-like,ABC,B,Scotland,Malt
Glenglassaugh 26yo,8.51,0.55,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Kilchoman Madeira Cask Matured,8.51,0.61,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Jura 16yo Diurach's Own,8.49,0.36,15,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Smogen PrimÌ¦r,8.49,0.25,4,$$$$$,SingleMalt-like,ABC,C,Sweden,Malt
Aberfeldy 16yo,8.48,0.19,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bushmills 16yo Single Malt,8.48,0.47,18,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Dalmore Cigar Malt,8.48,0.4,6,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Glenfiddich 19yo Age of Discovery (Madeira Cask),8.48,0.48,13,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Glengoyne Cask Strength (batch 3),8.48,0.72,6,$$$$,SingleMalt-like,ABC,B,Scotland,Malt
Highland Park Dark Origins,8.48,0.46,20,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Teeling Single Malt,8.47,0.27,8,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Highland Park 12yo Saint Magnus,8.45,0.38,5,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 15yo Tawny Port Finish,8.44,0.28,13,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Longrow Red 11yo Cabernet Sauvignon,8.44,1.1,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
